keyword_primary,keyword_alt,service,service_slug,city,state,url
"Agentic SEO & AI Overview Optimization in New York, NY",New York NY Agentic SEO & AI Overview Optimization,Agentic SEO & AI Overview Optimization,agentic-seo,New York,NY,/services/agentic-seo/new-york-ny/
"ChatGPT Optimization & LLM Mentions in New York, NY",New York NY ChatGPT Optimization & LLM Mentions,ChatGPT Optimization & LLM Mentions,chatgpt-optimization,New York,NY,/services/chatgpt-optimization/new-york-ny/
"AI Visibility Audit (ChatGPT/Perplexity/Claude) in New York, NY",New York NY AI Visibility Audit (ChatGPT/Perplexity/Claude),AI Visibility Audit (ChatGPT/Perplexity/Claude),ai-visibility-audit,New York,NY,/services/ai-visibility-audit/new-york-ny/
"Schema Optimizer & Reverse Engineer (JSON-LD) in New York, NY",New York NY Schema Optimizer & Reverse Engineer (JSON-LD),Schema Optimizer & Reverse Engineer (JSON-LD),schema-optimizer,New York,NY,/services/schema-optimizer/new-york-ny/
"Entity & Knowledge Graph Implementation in New York, NY",New York NY Entity & Knowledge Graph Implementation,Entity & Knowledge Graph Implementation,entity-graph,New York,NY,/services/entity-graph/new-york-ny/
"Authority Building & Digital PR (AI-cited) in New York, NY",New York NY Authority Building & Digital PR (AI-cited),Authority Building & Digital PR (AI-cited),authority-pr,New York,NY,/services/authority-pr/new-york-ny/
"Programmatic SEO (PSEO) Landing Pages in New York, NY",New York NY Programmatic SEO (PSEO) Landing Pages,Programmatic SEO (PSEO) Landing Pages,programmatic-seo,New York,NY,/services/programmatic-seo/new-york-ny/
"AI Consulting & Integration in New York, NY",New York NY AI Consulting & Integration,AI Consulting & Integration,ai-consulting,New York,NY,/services/ai-consulting/new-york-ny/
"Agentic Actions API (/agent.json, /meta.json) in New York, NY","New York NY Agentic Actions API (/agent.json, /meta.json)","Agentic Actions API (/agent.json, /meta.json)",agentic-actions-api,New York,NY,/services/agentic-actions-api/new-york-ny/
"AI Visibility Monitoring & Reporting in New York, NY",New York NY AI Visibility Monitoring & Reporting,AI Visibility Monitoring & Reporting,ai-visibility-monitoring,New York,NY,/services/ai-visibility-monitoring/new-york-ny/
"Agentic SEO & AI Overview Optimization in Los Angeles, CA",Los Angeles CA Agentic SEO & AI Overview Optimization,Agentic SEO & AI Overview Optimization,agentic-seo,Los Angeles,CA,/services/agentic-seo/los-angeles-ca/
"ChatGPT Optimization & LLM Mentions in Los Angeles, CA",Los Angeles CA ChatGPT Optimization & LLM Mentions,ChatGPT Optimization & LLM Mentions,chatgpt-optimization,Los Angeles,CA,/services/chatgpt-optimization/los-angeles-ca/
